1	GQcFxf8Q	2	1	13	sunleyj@parliament.uk	2022-07-25 13:43:04 +00:00
2	kUCqSZ6Z	4	1	3.40000009536743	sunleyj@parliament.uk	2022-07-25 13:43:16 +00:00
3	NMNRySXx	8	1	4	sunleyj@parliament.uk	2022-07-25 13:50:43 +00:00
4	MCTLoa1M	9	1	3	sunleyj@parliament.uk	2022-07-25 13:50:50 +00:00
5	T1gLpKYD	10	1	4	sunleyj@parliament.uk	2022-07-25 13:50:58 +00:00
6	uaeP6pzN	12	1	3.40000009536743	sunleyj@parliament.uk	2022-07-25 13:51:06 +00:00
7	geRC9Zhe	14	1	1	sunleyj@parliament.uk	2022-07-25 13:51:12 +00:00
8	cBgK154H	15	1	2	sunleyj@parliament.uk	2022-07-25 13:51:18 +00:00
9	IYUAmpn3	19	1	6	sunleyj@parliament.uk	2022-07-25 13:51:30 +00:00
10	WiN4DH6o	21	1	13	sunleyj@parliament.uk	2022-07-25 13:51:47 +00:00
11	qvpoDo3B	23	1	11	sunleyj@parliament.uk	2022-07-25 13:51:53 +00:00
12	h4SGKuh3	26	1	14	sunleyj@parliament.uk	2022-07-25 13:52:07 +00:00
13	OskR18WA	28	1	22	sunleyj@parliament.uk	2022-07-25 13:52:15 +00:00
14	AhNOuO7n	29	1	14	sunleyj@parliament.uk	2022-07-25 13:52:23 +00:00
15	GwQDIS93	32	1	9	sunleyj@parliament.uk	2022-07-25 13:52:34 +00:00
16	AmkendFS	33	1	7	sunleyj@parliament.uk	2022-07-25 13:52:43 +00:00
17	qUJt4QOv	34	1	10	sunleyj@parliament.uk	2022-07-25 13:52:50 +00:00
18	j9QdKlwZ	36	1	20	sunleyj@parliament.uk	2022-07-25 13:52:57 +00:00
19	jTudnnzF	38	1	11	sunleyj@parliament.uk	2022-07-25 13:53:07 +00:00
20	23VADIGp	39	1	23	sunleyj@parliament.uk	2022-07-25 13:53:15 +00:00
21	MbtMLu4d	40	1	16	sunleyj@parliament.uk	2022-07-25 13:53:22 +00:00
22	INCUwwcq	42	1	22	sunleyj@parliament.uk	2022-07-25 13:53:32 +00:00
23	xWDsFO6G	43	1	20	sunleyj@parliament.uk	2022-07-25 13:53:43 +00:00
24	oEMuUB2c	44	1	29	sunleyj@parliament.uk	2022-07-25 13:53:50 +00:00
25	5MuAibYV	50	1	8	sunleyj@parliament.uk	2022-07-25 13:53:58 +00:00
26	Lffjdsme	53	1	25	sunleyj@parliament.uk	2022-07-25 13:54:08 +00:00
27	PT00iZ3e	60	1	21	sunleyj@parliament.uk	2022-07-25 13:54:16 +00:00
28	Tn15CsTs	61	1	21	sunleyj@parliament.uk	2022-07-25 13:54:25 +00:00
29	ZLFSjlvZ	68	1	10.1000003814697	sunleyj@parliament.uk	2022-07-25 13:54:37 +00:00
30	uBftP8Ug	69	1	4.09999990463257	sunleyj@parliament.uk	2022-07-25 13:54:48 +00:00
31	BV3SYNZ9	70	1	4.09999990463257	sunleyj@parliament.uk	2022-07-25 13:55:00 +00:00
